municipality_code,municipality_name,prefecture,establishment_count_available,area_km2_available,commercial_density_available,establishment_count,commercial_density,source_table_id,economic_census_year,notes
13361,大島町,13,YES,YES,YES,525,5.78,0004005655,2021,establishments/area_km2
13362,利島村,13,YES,YES,YES,30,7.43,0004005655,2021,establishments/area_km2
13363,新島村,13,YES,YES,YES,207,7.52,0004005655,2021,establishments/area_km2
13364,神津島村,13,YES,YES,YES,168,9.04,0004005655,2021,establishments/area_km2
13381,三宅村,13,YES,YES,YES,235,4.25,0004005655,2021,establishments/area_km2
13382,御蔵島村,13,YES,YES,YES,28,1.37,0004005655,2021,establishments/area_km2
13401,八丈町,13,YES,YES,YES,515,7.13,0004005655,2021,establishments/area_km2
13402,青ヶ島村,13,YES,YES,YES,15,2.52,0004005655,2021,establishments/area_km2
13421,小笠原村,13,YES,YES,YES,276,2.44,0004005655,2021,establishments/area_km2
14101,横浜市鶴見区,14,YES,YES,YES,8664,260.85,0004005655,2021,establishments/area_km2
14102,横浜市神奈川区,14,YES,YES,YES,8447,356.03,0004005655,2021,establishments/area_km2
14103,横浜市西区,14,YES,YES,YES,8463,1204.41,0004005655,2021,establishments/area_km2
14104,横浜市中区,14,YES,YES,YES,14632,664.69,0004005655,2021,establishments/area_km2
14105,横浜市南区,14,YES,YES,YES,5372,424.52,0004005655,2021,establishments/area_km2
14106,横浜市保土ケ谷区,14,YES,YES,YES,4888,222.87,0004005655,2021,establishments/area_km2
14107,横浜市磯子区,14,YES,YES,YES,3853,202.59,0004005655,2021,establishments/area_km2
14108,横浜市金沢区,14,YES,YES,YES,5575,180.15,0004005655,2021,establishments/area_km2
14109,横浜市港北区,14,YES,YES,YES,11584,368.89,0004005655,2021,establishments/area_km2
14110,横浜市戸塚区,14,YES,YES,YES,6064,169.41,0004005655,2021,establishments/area_km2
14111,横浜市港南区,14,YES,YES,YES,5484,275.52,0004005655,2021,establishments/area_km2
14112,横浜市旭区,14,YES,YES,YES,5181,158.29,0004005655,2021,establishments/area_km2
14113,横浜市緑区,14,YES,YES,YES,3767,147.67,0004005655,2021,establishments/area_km2
14114,横浜市瀬谷区,14,YES,YES,YES,3132,182.46,0004005655,2021,establishments/area_km2
14115,横浜市栄区,14,YES,YES,YES,2120,114.45,0004005655,2021,establishments/area_km2
14116,横浜市泉区,14,YES,YES,YES,3517,149.16,0004005655,2021,establishments/area_km2
14117,横浜市青葉区,14,YES,YES,YES,7667,217.69,0004005655,2021,establishments/area_km2
14118,横浜市都筑区,14,YES,YES,YES,8069,289.49,0004005655,2021,establishments/area_km2
14131,川崎市川崎区,14,YES,YES,YES,10362,262.41,0004005655,2021,establishments/area_km2
14132,川崎市幸区,14,YES,YES,YES,4621,461.69,0004005655,2021,establishments/area_km2
14133,川崎市中原区,14,YES,YES,YES,7091,481.06,0004005655,2021,establishments/area_km2
14134,川崎市高津区,14,YES,YES,YES,5915,361.59,0004005655,2021,establishments/area_km2
14135,川崎市多摩区,14,YES,YES,YES,4846,236.36,0004005655,2021,establishments/area_km2
14136,川崎市宮前区,14,YES,YES,YES,4723,253.82,0004005655,2021,establishments/area_km2
14137,川崎市麻生区,14,YES,YES,YES,3665,157.6,0004005655,2021,establishments/area_km2
